DIP-74E DIP-19N 
DIP-187104E DIP-35347N DIP-23633N 
DIP-187833E DIP-17759N DIP-31003N 
DIP-187842E DIP-59419N DIP-17759N 
DIP-187567E DIP-29739N DIP-29769N 
DIP-187568E DIP-29739N DIP-29770N 
DIP-187637E DIP-40915N DIP-59337N 
DIP-187670E DIP-20367N 
DIP-187761E DIP-20367N DIP-17087N 
DIP-187762E DIP-59317N DIP-17087N 
DIP-187767E DIP-32844N DIP-59323N 
DIP-187768E DIP-32844N DIP-34358N 
DIP-187669E DIP-20367N DIP-32494N 
DIP-188230E DIP-49071N DIP-59503N 
DIP-188231E DIP-59503N DIP-17264N 
DIP-188107E DIP-59474N DIP-18256N 
DIP-188126E DIP-59485N 
DIP-188131E DIP-59487N 
DIP-188596E DIP-59538N DIP-20584N 
DIP-188604E DIP-18961N DIP-17301N 
DIP-188603E DIP-29021N DIP-17301N 
DIP-188907E DIP-32843N DIP-19956N 
DIP-188909E DIP-19956N DIP-18344N 
DIP-188910E DIP-34574N DIP-32843N 
DIP-188911E DIP-19838N DIP-19956N 
DIP-188912E DIP-32843N DIP-17196N 
DIP-188788E DIP-36067N DIP-59584N 
DIP-188789E DIP-122N DIP-36414N 
DIP-188790E DIP-44044N DIP-36414N 
DIP-188791E DIP-19968N DIP-36414N 
DIP-188793E DIP-36414N DIP-59585N 
DIP-188804E DIP-59591N DIP-661N 
DIP-188785E DIP-36414N DIP-35779N 
DIP-188786E DIP-36414N DIP-59584N 
DIP-188787E DIP-59584N DIP-35779N 
DIP-188990E DIP-59662N DIP-59666N 
DIP-188995E DIP-59672N 
DIP-188996E DIP-59671N DIP-59672N 
DIP-188997E DIP-59671N 
DIP-189300E DIP-59770N 
DIP-189301E DIP-22915N DIP-59770N 
DIP-189302E DIP-22915N 
DIP-189426E DIP-17262N DIP-22550N 
DIP-189481E DIP-18320N DIP-6721N 
DIP-189192E DIP-42883N DIP-59726N 
DIP-189193E DIP-59727N DIP-49148N 
DIP-189253E DIP-22309N DIP-59750N 
DIP-189283E DIP-17316N 
DIP-189049E DIP-49071N DIP-22524N 
DIP-189050E DIP-18869N DIP-49071N 
DIP-189051E DIP-49071N DIP-43956N 
DIP-189052E DIP-49071N DIP-19158N 
DIP-189053E DIP-22251N DIP-49071N 
DIP-189054E DIP-17129N DIP-49071N 
DIP-189081E DIP-23874N DIP-22453N 
DIP-189082E DIP-59537N DIP-23874N 
DIP-189083E DIP-23940N DIP-23874N 
DIP-189014E DIP-59685N DIP-35525N 
DIP-189501E DIP-48537N DIP-35774N 
DIP-189522E DIP-21076N DIP-38574N 
DIP-189534E DIP-19N DIP-5796N 
DIP-189528E DIP-59818N DIP-19N 
DIP-189529E DIP-19N DIP-59819N 
DIP-189562E DIP-59830N DIP-23844N 
DIP-189571E DIP-59834N 
DIP-189585E DIP-37857N DIP-59841N 
DIP-189586E DIP-20495N DIP-59841N 
DIP-189587E DIP-21516N DIP-59841N 
DIP-189600E DIP-19640N DIP-59843N 
DIP-189612E DIP-31315N DIP-54N 
DIP-189650E DIP-59868N DIP-18773N 
DIP-189651E DIP-18773N DIP-51405N 
DIP-189652E DIP-17987N DIP-18773N 
DIP-189653E DIP-19566N DIP-18773N 
DIP-189874E DIP-59820N DIP-59819N 
DIP-189875E DIP-59820N DIP-59818N 
DIP-189532E DIP-59818N DIP-20760N 
DIP-189667E DIP-29425N DIP-22524N 
DIP-189817E DIP-59925N DIP-32943N 
DIP-189666E DIP-29425N DIP-29549N 
DIP-190052E DIP-49071N 
DIP-190058E DIP-59983N 
DIP-190164E DIP-47764N DIP-59994N 
