DIP-7286N YIL030C 
DIP-7280N YDR276C 
DIP-727N YDL013W 
DIP-7273N YEL065W 
DIP-7271N YMR299C 
DIP-7266N YNR055C 
DIP-725N YDR404C 
DIP-7259N YDR458C 
DIP-7253N YMR306W 
DIP-7247N YJL204C 
DIP-7245N R0040C 
DIP-7228N YOL110W 
DIP-7221N YOR339C 
DIP-7219N YJL114W 
DIP-7215N YJL130C 
DIP-7214N YOR233W 
DIP-7210N YDL245C 
DIP-720N YNL154C 
DIP-7209N YJR158W 
DIP-71N YBR154C 
DIP-719N YHR135C 
DIP-7198N YJR124C 
DIP-7196N YKL004W 
DIP-7194N YIR028W 
DIP-718N YDR129C 
DIP-7189N YIL114C 
DIP-7181N YOR099W 
DIP-7178N YEL039C 
DIP-7177N YGL012W 
DIP-7167N YJR059W 
DIP-715N YLR147C 
DIP-7155N YHL050C 
DIP-7154N YMR057C 
DIP-714N YBL016W 
DIP-7137N YOL127W 
DIP-712N YHL007C 
DIP-7126N YNL209W 
DIP-710N YGR252W 
DIP-709N YGL172W 
DIP-705N YBR172C 
DIP-702N YDR356W 
DIP-701N YPR086W 
DIP-700N YNL167C 
DIP-69N YPL215W 
DIP-698N YDL014W 
DIP-697N YBR114W 
DIP-696N YBR112C 
DIP-695N YBL007C 
DIP-694N YIL022W 
DIP-688N YBR200W 
DIP-6844N YKL018W 
DIP-6843N YBR258C 
DIP-6842N YIL177C 
DIP-6841N YBR001C 
DIP-6840N YGR102C 
DIP-6838N YGR095C 
DIP-6837N YGR078C 
DIP-6836N YML009C 
DIP-6835N YML030W 
DIP-6834N YKL170W 
DIP-6832N YDR322W 
DIP-6831N YGL128C 
DIP-6829N YFR006W 
DIP-6828N YGL194C 
DIP-6827N YOL017W 
DIP-6826N YGL252C 
DIP-6824N YHL034C 
DIP-6822N YBR299W 
DIP-6821N YDR186C 
DIP-6820N YNL052W 
DIP-681N YNL330C 
DIP-6819N YJL033W 
DIP-6818N YMR227C 
DIP-6817N YLR079W 
DIP-6816N YEL022W 
DIP-6815N YDL058W 
DIP-6814N YPR100W 
DIP-6813N YPL048W 
DIP-6812N YEL050C 
DIP-6811N YBR115C 
DIP-680N YDR123C 
DIP-6809N YPL010W 
DIP-6807N YGL246C 
DIP-6806N YGR220C 
DIP-6805N YDR462W 
DIP-6804N YDR237W 
DIP-6803N YGR076C 
DIP-6800N YPL183W-A 
DIP-6799N YMR076C 
DIP-6798N YMR024W 
DIP-6797N YOR179C 
DIP-6796N YGR281W 
DIP-6794N YNL306W 
DIP-6793N YKR085C 
DIP-6791N YML067C 
DIP-6790N YLR176C 
DIP-678N YMR302C 
DIP-6788N YHR013C 
DIP-6787N YMR234W 
DIP-6786N YGL001C 
DIP-6785N YNL232W 
DIP-6784N YFR019W 
DIP-6783N YNL313C 
DIP-6782N YNL071W 
DIP-6781N YNL185C 
